Fecha,Encuesta,Estrato,Sexo,Edad,Nivel Educativo,Cantidad de Integrantes en el Hogar,Imagen del Candidato,Voto,Voto Anterior
2025-08-26,259cff81-e5ce-4ca6-a068-21d6280a07ee,Medio,Masculino,53,Secundario completo,6,98.51825949392673,Candidato B,No votó
2024-09-04,390a9016-cdec-45da-a00f-7753f217faac,Medio,Masculino,64,Primario incompleto,4,71.62718818171822,Candidato A,En blanco
2025-06-20,3c9590d3-3e2a-4d3e-8222-134550de4292,Bajo,Femenino,30,Secundario incompleto,6,79.41425748030265,En blanco,En blanco
2025-10-01,5f59aa2c-4a82-406a-af16-fb50c13e66af,Medio,Masculino,18,Secundario completo,3,77.27368710156219,No votó,Candidato B
2024-10-01,dc68d4fd-0bd7-496f-a9c7-2e7b6b770df1,Alto,Masculino,20,Posgrado,6,81.05059332858887,Candidato A,En blanco
2023-12-11,64d02759-0542-4d75-99e8-c82821da132c,Medio,Femenino,21,Terciario/Universitario incompleto,4,15.959645633346465,Candidato A,No votó
2024-05-29,21cc14b3-12bd-475f-b3c1-61c313f2a37c,Medio,Femenino,26,Primario completo,2,60.55951832856259,Candidato B,Candidato A
2024-12-11,6ab01563-8cff-4bb1-8ca4-9aaf6b944e09,Medio,Femenino,33,Terciario/Universitario incompleto,4,60.83176735665645,Candidato B,Candidato C
2024-11-21,9750ca7e-246c-409c-ad28-508dbdaa3bfa,Medio,Femenino,46,Primario incompleto,6,87.40325716056958,Candidato C,Candidato B
2024-09-19,5ac4b6c7-a310-44dd-8c4b-91fe6c148fc6,Medio,Masculino,73,Terciario/Universitario incompleto,4,43.790104073403114,En blanco,Candidato A
2025-10-23,a1fdcdf1-71df-44d9-bf80-c31f15a5712c,Alto,Femenino,61,Terciario/Universitario incompleto,4,26.017090837511514,Candidato B,Candidato B
2025-07-10,877a2133-f2ed-43e1-a315-59405e87905a,Bajo,Femenino,57,Primario incompleto,6,53.66216902500265,No votó,Candidato C
2025-08-15,02284fd9-689b-4a65-a05d-d4d60ecfb95b,Alto,Femenino,32,Primario incompleto,5,49.36004659031832,Candidato C,No votó
2024-07-02,e6b920da-ba6a-498f-b642-c8f36acf49eb,Bajo,Masculino,60,Terciario/Universitario incompleto,6,1.68272081673414,Candidato C,Candidato C
