Fecha,Encuesta,Estrato,Sexo,Edad,Nivel Educativo,Cantidad de Integrantes en el Hogar,Imagen del Candidato,Voto,Voto Anterior
2025-01-15,100,Alto,Femenino,33,Primario completo,2,87,Candidato A,No votó
2025-01-15,100,Bajo,Femenino,20,Primario incompleto,1,53,Candidato B,No votó
2025-01-15,100,Bajo,Masculino,63,Terciario/Universitario completo,6,74,En blanco,Candidato B
2025-03-01,400,Bajo,Femenino,69,Posgrado,1,88,Candidato B,En blanco
2025-02-15,300,Medio,Masculino,31,Posgrado,3,46,Candidato A,En blanco
2025-01-15,100,Medio,Femenino,56,Secundario incompleto,1,86,En blanco,No votó
2025-01-15,100,Medio,Masculino,53,Secundario incompleto,6,79,Candidato C,No votó
2025-02-01,200,Bajo,Masculino,20,Terciario/Universitario completo,2,89,Candidato C,Candidato A
2025-02-01,200,Alto,Femenino,35,Secundario completo,6,93,Candidato C,Candidato B
2025-02-15,300,Medio,Masculino,60,Secundario incompleto,6,99,Candidato A,No votó
2025-02-01,200,Bajo,Masculino,28,Secundario completo,4,57,No votó,Candidato B
2025-02-15,300,Alto,Masculino,70,Primario incompleto,3,65,Candidato C,Candidato A
2025-02-01,200,Bajo,Femenino,31,Terciario/Universitario completo,4,65,En blanco,Candidato B
2025-02-15,300,Alto,Masculino,65,Terciario/Universitario incompleto,5,56,No votó,En blanco
2025-03-01,400,Medio,Masculino,26,Terciario/Universitario incompleto,4,45,Candidato A,Candidato A
2025-02-01,200,Bajo,Masculino,68,Terciario/Universitario completo,4,78,Candidato A,En blanco
2025-03-01,400,Bajo,Femenino,51,Secundario incompleto,5,95,Candidato A,Candidato A
2025-02-15,300,Bajo,Femenino,25,Secundario incompleto,4,50,En blanco,Candidato A
2025-02-15,300,Bajo,Masculino,50,Primario incompleto,6,59,No votó,No votó
2025-02-01,200,Alto,Femenino,66,Primario completo,5,89,No votó,Candidato A
2025-02-15,300,Medio,Masculino,25,Secundario incompleto,3,55,Candidato A,Candidato B
2025-01-15,100,Alto,Femenino,70,Primario incompleto,5,89,Candidato B,Candidato B
2025-03-01,400,Bajo,Masculino,34,Terciario/Universitario incompleto,5,67,Candidato B,No votó
2025-02-01,200,Bajo,Femenino,43,Terciario/Universitario completo,6,63,En blanco,No votó
2025-03-01,400,Alto,Masculino,32,Primario incompleto,3,41,No votó,No votó
2025-02-01,200,Bajo,Masculino,18,Primario incompleto,6,80,Candidato A,Candidato B
2025-01-15,100,Alto,Femenino,22,Terciario/Universitario incompleto,2,57,En blanco,Candidato B
2025-02-01,200,Bajo,Femenino,33,Posgrado,4,91,En blanco,Candidato B
2025-01-15,100,Alto,Femenino,40,Secundario completo,4,69,Candidato A,Candidato A
2025-01-15,100,Medio,Femenino,69,Posgrado,1,55,Candidato B,Candidato B
2025-03-01,400,Alto,Femenino,29,Secundario incompleto,4,55,Candidato A,En blanco
2025-01-15,100,Alto,Masculino,80,Primario incompleto,2,50,En blanco,En blanco
2025-03-01,400,Alto,Femenino,75,Primario incompleto,2,64,Candidato A,En blanco
2025-02-15,300,Medio,Femenino,45,Terciario/Universitario completo,6,90,No votó,En blanco
2025-02-01,200,Alto,Femenino,31,Primario incompleto,5,87,No votó,Candidato A
2025-02-15,300,Alto,Masculino,55,Secundario completo,5,98,No votó,Candidato B
2025-01-15,100,Bajo,Masculino,72,Primario completo,1,78,Candidato A,Candidato B
2025-03-01,400,Alto,Masculino,55,Terciario/Universitario incompleto,1,79,Candidato A,En blanco
2025-02-15,300,Medio,Masculino,60,Terciario/Universitario completo,3,55,Candidato C,En blanco
2025-02-01,200,Bajo,Femenino,47,Secundario incompleto,1,40,En blanco,No votó
2025-01-15,100,Alto,Masculino,50,Secundario incompleto,2,99,Candidato C,Candidato A
2025-02-01,200,Medio,Femenino,28,Secundario completo,5,85,Candidato C,No votó
2025-01-15,100,Bajo,Femenino,77,Terciario/Universitario completo,1,100,Candidato B,Candidato C
2025-01-15,100,Alto,Masculino,35,Secundario incompleto,5,53,Candidato C,Candidato B
2025-02-15,300,Bajo,Femenino,34,Posgrado,1,45,En blanco,Candidato C
2025-01-15,100,Alto,Femenino,67,Primario completo,6,56,Candidato B,En blanco
2025-03-01,400,Bajo,Masculino,25,Primario incompleto,6,97,Candidato B,No votó
2025-01-15,100,Medio,Masculino,45,Primario completo,1,59,Candidato C,Candidato A
2025-02-15,300,Alto,Masculino,60,Primario incompleto,3,89,No votó,En blanco
2025-02-01,200,Alto,Masculino,80,Posgrado,2,96,En blanco,Candidato A
2025-02-01,200,Bajo,Femenino,68,Secundario completo,6,95,Candidato B,Candidato C
