codigo_estrato,estrato,sexo,edad,poblacion
2,Caba,femenino,16,17153
2,Caba,masculino,16,17213
2,Caba,femenino,17,17923
2,Caba,masculino,17,17905
2,Caba,femenino,18,19907
2,Caba,masculino,18,19334
2,Caba,femenino,19,20274
2,Caba,masculino,19,19295
2,Caba,femenino,20,20892
2,Caba,masculino,20,19763
2,Caba,femenino,21,22169
2,Caba,masculino,21,20170
2,Caba,femenino,22,22644
2,Caba,masculino,22,21087
2,Caba,femenino,23,22321
2,Caba,masculino,23,20193
2,Caba,femenino,24,22585
2,Caba,masculino,24,20700
2,Caba,femenino,25,23619
2,Caba,masculino,25,21424
2,Caba,femenino,26,23808
2,Caba,masculino,26,21714
2,Caba,femenino,27,24625
2,Caba,masculino,27,22441
2,Caba,femenino,28,24027
2,Caba,masculino,28,22157
2,Caba,femenino,29,25230
2,Caba,masculino,29,22858
2,Caba,femenino,30,26593
2,Caba,masculino,30,24250
2,Caba,femenino,31,26246
2,Caba,masculino,31,24317
2,Caba,femenino,32,25943
2,Caba,masculino,32,24166
2,Caba,femenino,33,26513
2,Caba,masculino,33,24317
2,Caba,femenino,34,25414
2,Caba,masculino,34,23820
2,Caba,femenino,35,26338
2,Caba,masculino,35,24663
2,Caba,femenino,36,25476
2,Caba,masculino,36,23764
2,Caba,femenino,37,24801
2,Caba,masculino,37,23338
2,Caba,femenino,38,24386
2,Caba,masculino,38,22991
2,Caba,femenino,39,24081
2,Caba,masculino,39,22499
2,Caba,femenino,40,25496
2,Caba,masculino,40,23338
2,Caba,femenino,41,23963
2,Caba,masculino,41,21902
2,Caba,femenino,42,24971
2,Caba,masculino,42,22759
2,Caba,femenino,43,24267
2,Caba,masculino,43,21787
2,Caba,femenino,44,24097
2,Caba,masculino,44,21433
2,Caba,femenino,45,24595
2,Caba,masculino,45,21870
2,Caba,femenino,46,24153
2,Caba,masculino,46,20818
2,Caba,femenino,47,23733
2,Caba,masculino,47,20443
2,Caba,femenino,48,22309
2,Caba,masculino,48,19134
2,Caba,femenino,49,22190
2,Caba,masculino,49,18956
2,Caba,femenino,50,22609
2,Caba,masculino,50,19350
2,Caba,femenino,51,20743
2,Caba,masculino,51,17640
2,Caba,femenino,52,20369
2,Caba,masculino,52,17179
2,Caba,femenino,53,19548
2,Caba,masculino,53,16592
2,Caba,femenino,54,19403
2,Caba,masculino,54,15852
2,Caba,femenino,55,18969
2,Caba,masculino,55,15805
2,Caba,femenino,56,19060
2,Caba,masculino,56,15607
2,Caba,femenino,57,18968
2,Caba,masculino,57,15385
2,Caba,femenino,58,18660
2,Caba,masculino,58,14846
2,Caba,femenino,59,19297
2,Caba,masculino,59,15522
2,Caba,femenino,60,19445
2,Caba,masculino,60,15446
2,Caba,femenino,61,18210
2,Caba,masculino,61,14458
2,Caba,femenino,62,18480
2,Caba,masculino,62,14656
2,Caba,femenino,63,17989
2,Caba,masculino,63,14189
2,Caba,femenino,64,17442
2,Caba,masculino,64,13637
2,Caba,femenino,65,18379
2,Caba,masculino,65,14036
2,Caba,femenino,66,17215
2,Caba,masculino,66,12664
2,Caba,femenino,67,16983
2,Caba,masculino,67,12287
2,Caba,femenino,68,16305
2,Caba,masculino,68,11672
2,Caba,femenino,69,16786
2,Caba,masculino,69,11836
2,Caba,femenino,70,16756
2,Caba,masculino,70,11587
2,Caba,femenino,71,15961
2,Caba,masculino,71,11035
2,Caba,femenino,72,16025
2,Caba,masculino,72,10782
2,Caba,femenino,73,15009
2,Caba,masculino,73,10226
2,Caba,femenino,74,14734
2,Caba,masculino,74,9780
2,Caba,femenino,75,14765
2,Caba,masculino,75,9319
2,Caba,femenino,76,14368
2,Caba,masculino,76,8940
2,Caba,femenino,77,13630
2,Caba,masculino,77,8430
2,Caba,femenino,78,12721
2,Caba,masculino,78,7591
2,Caba,femenino,79,11619
2,Caba,masculino,79,6959
2,Caba,femenino,80,11046
2,Caba,masculino,80,6228
2,Caba,femenino,81,10083
2,Caba,masculino,81,5730
2,Caba,femenino,82,9716
2,Caba,masculino,82,5197
2,Caba,femenino,83,8765
2,Caba,masculino,83,4542
2,Caba,femenino,84,7873
2,Caba,masculino,84,4140
2,Caba,femenino,85,7257
2,Caba,masculino,85,3625
2,Caba,femenino,86,6780
2,Caba,masculino,86,3249
2,Caba,femenino,87,6162
2,Caba,masculino,87,2910
2,Caba,femenino,88,5404
2,Caba,masculino,88,2417
2,Caba,femenino,89,5209
2,Caba,masculino,89,2130
2,Caba,femenino,90,4644
2,Caba,masculino,90,1848
2,Caba,femenino,91,3952
2,Caba,masculino,91,1575
2,Caba,femenino,92,3316
2,Caba,masculino,92,1200
2,Caba,femenino,93,2774
2,Caba,masculino,93,904
2,Caba,femenino,94,2228
2,Caba,masculino,94,702
2,Caba,femenino,95,1540
2,Caba,masculino,95,529
1,Buenos Aires,femenino,16,134927
1,Buenos Aires,masculino,16,137418
1,Buenos Aires,femenino,17,139788
1,Buenos Aires,masculino,17,142023
1,Buenos Aires,femenino,18,136704
1,Buenos Aires,masculino,18,139573
1,Buenos Aires,femenino,19,131642
1,Buenos Aires,masculino,19,132140
1,Buenos Aires,femenino,20,128203
1,Buenos Aires,masculino,20,127135
1,Buenos Aires,femenino,21,129588
1,Buenos Aires,masculino,21,129045
1,Buenos Aires,femenino,22,133633
1,Buenos Aires,masculino,22,132179
1,Buenos Aires,femenino,23,129585
1,Buenos Aires,masculino,23,127654
1,Buenos Aires,femenino,24,129438
1,Buenos Aires,masculino,24,126902
1,Buenos Aires,femenino,25,134414
1,Buenos Aires,masculino,25,128996
1,Buenos Aires,femenino,26,132679
1,Buenos Aires,masculino,26,127148
1,Buenos Aires,femenino,27,134241
1,Buenos Aires,masculino,27,128698
1,Buenos Aires,femenino,28,130321
1,Buenos Aires,masculino,28,123494
1,Buenos Aires,femenino,29,131584
1,Buenos Aires,masculino,29,125203
1,Buenos Aires,femenino,30,140389
1,Buenos Aires,masculino,30,132695
1,Buenos Aires,femenino,31,135293
1,Buenos Aires,masculino,31,127360
1,Buenos Aires,femenino,32,131147
1,Buenos Aires,masculino,32,124401
1,Buenos Aires,femenino,33,129980
1,Buenos Aires,masculino,33,123652
1,Buenos Aires,femenino,34,127641
1,Buenos Aires,masculino,34,120355
1,Buenos Aires,femenino,35,133431
1,Buenos Aires,masculino,35,125958
1,Buenos Aires,femenino,36,127562
1,Buenos Aires,masculino,36,120929
1,Buenos Aires,femenino,37,122762
1,Buenos Aires,masculino,37,115935
1,Buenos Aires,femenino,38,124424
1,Buenos Aires,masculino,38,117837
1,Buenos Aires,femenino,39,130354
1,Buenos Aires,masculino,39,122484
1,Buenos Aires,femenino,40,137072
1,Buenos Aires,masculino,40,127392
1,Buenos Aires,femenino,41,126884
