codigo_estrato,estrato,sexo,edad,poblacion,peso
2,caba,femenino,16,17153,0.0002463546534401999
2,caba,masculino,16,17213,0.0002472163848694783
2,caba,femenino,17,17923,0.00025741354011593907
2,caba,masculino,17,17905,0.00025715502068715556
2,caba,femenino,18,19907,0.0002859081260440774
2,caba,masculino,18,19334,0.0002776785908944689
2,caba,femenino,19,20274,0.0002911790499531635
2,caba,masculino,19,19295,0.000277118465465438
2,caba,femenino,20,20892,0.00030005488367473073
2,caba,masculino,20,19763,0.0002838399706138093
2,caba,femenino,21,22169,0.0003183954009278722
2,caba,masculino,21,20170,0.00028968538214241426
2,caba,femenino,22,22644,0.00032521744140965935
2,caba,masculino,22,21087,0.00030285551081988545
2,caba,femenino,23,22321,0.00032057845388204406
2,caba,masculino,23,20193,0.00029001571252363766
2,caba,femenino,24,22585,0.00032437007217086893
2,caba,masculino,24,20700,0.00029729734310103995
2,caba,femenino,25,23619,0.00033922057713543297
2,caba,masculino,25,21424,0.00030769556901433237
2,caba,femenino,26,23808,0.00034193503113765986
2,caba,masculino,26,21714,0.0003118606042558445
2,caba,femenino,27,24625,0.0003536689407663337
2,caba,masculino,27,22441,0.00032230191674060085
2,caba,femenino,28,24027,0.00034508035085452593
2,caba,masculino,28,22157,0.0003182230546420165
2,caba,femenino,29,25230,0.00036235806601155735
2,caba,masculino,29,22858,0.00032829095017408553
2,caba,femenino,30,26593,0.00038193373164666447
2,caba,masculino,30,24250,0.0003482831193333439
2,caba,femenino,31,26246,0.0003769500515473379
2,caba,masculino,31,24317,0.0003492453860960381
2,caba,femenino,32,25943,0.0003725983078294821
2,caba,masculino,32,24166,0.0003470766953323542
2,caba,femenino,33,26513,0.00038078475640762664
2,caba,masculino,33,24317,0.0003492453860960381
2,caba,femenino,34,25414,0.0003650007090613444
2,caba,masculino,34,23820,0.00034210737742351553
2,caba,femenino,35,26338,0.0003782713730722314
2,caba,masculino,35,24663,0.0003542147040048767
2,caba,femenino,36,25476,0.0003658911648715987
2,caba,masculino,36,23764,0.00034130309475618906
2,caba,femenino,37,24801,0.000356196686292217
2,caba,masculino,37,23338,0.0003351848016083126
